clubId,clubName,id,leagueId,leagueName,name,nationId,nationName,positions,priceText,qualityAndRarity,rating
10,"Manchester City",26264,13,"Manchester City","Kevin De Bruyne",7,Belgium,CM;CAM,24.5K,"  gold rare",91
9,Liverpool,26266,13,Liverpool,"Mohamed Salah",111,Egypt,RW;RM,21K,"  gold rare",90
9,Liverpool,26267,13,Liverpool,"Virgil van Dijk",34,Netherlands,CB,21.25K,"  gold rare",90
11,"Manchester Utd",26268,13,"Manchester Utd","Cristiano Ronaldo",38,Portugal,ST;CF,36K,"  gold rare",90
18,Spurs,26272,13,Spurs,"Heung Min Son",167,"Korea Republic",LW;LM,18.25K,"  gold rare",89
11,"Manchester Utd",26275,13,"Manchester Utd",Casemiro,54,Brazil,CDM,18K,"  gold rare",89
9,Liverpool,26276,13,Liverpool,Alisson,54,Brazil,GK,18.25K,"  gold rare",89
18,Spurs,26277,13,Spurs,"Harry Kane",14,England,ST;CF,18K,"  gold rare",89
10,"Manchester City",26278,13,"Manchester City",Ederson,54,Brazil,GK,18K,"  gold rare",89
5,Chelsea,26279,13,Chelsea,"N'Golo Kanté",18,France,CDM;CM,19.5K,"  gold rare",89
10,"Manchester City",26281,13,"Manchester City","Erling Haaland",36,Norway,ST;CF,13.5K,"  gold rare",88
10,"Manchester City",26303,13,"Manchester City","Bernardo Silva",38,Portugal,CAM;CM,14.25K,"  gold rare",88
10,"Manchester City",26305,13,"Manchester City","Rúben Dias",38,Portugal,CB,13.5K,"  gold rare",88
10,"Manchester City",26307,13,"Manchester City","João Cancelo",38,Portugal,LB;RB;LWB,15.5K,"  gold rare",88
14,"Nott'm Forest",51889,13,"Nott'm Forest","Keylor Navas",72,"Costa Rica",GK,13.25K,"  gold rare",88
11,"Manchester Utd",26306,13,"Manchester Utd","David De Gea",45,Spain,GK,11.5K,"  gold rare",87
18,Spurs,26308,13,Spurs,"Hugo Lloris",18,France,GK,11.5K,"  gold rare",87
9,Liverpool,26309,13,Liverpool,"Trent Alexander-Arnold",14,England,RB;RWB,11K,"  gold rare",87
5,Chelsea,26310,13,Chelsea,"Kalidou Koulibaly",136,Senegal,CB,11.75K,"  gold rare",87
10,"Manchester City",26311,13,"Manchester City",Rodri,45,Spain,CDM,11.5K,"  gold rare",87
9,Liverpool,26312,13,Liverpool,"Andrew Robertson",42,Scotland,LB;LWB,12K,"  gold rare",87
9,Liverpool,26313,13,Liverpool,Fabinho,54,Brazil,CDM;CB,12.25K,"  gold rare",87
10,"Manchester City",26302,13,"Manchester City","Aymeric Laporte",45,Spain,CB,10.75K,"  gold rare",86
5,Chelsea,26304,13,Chelsea,"Édouard Mendy",136,Senegal,GK,10.25K,"  gold rare",86
5,Chelsea,26339,13,Chelsea,"Thiago Silva",54,Brazil,CB,10.75K,"  gold rare",86
5,Chelsea,26340,13,Chelsea,"Raheem Sterling",14,England,LW;LM;RW,11K,"  gold rare",86
9,Liverpool,26349,13,Liverpool,Thiago,45,Spain,CM,11K,"  gold rare",86
10,"Manchester City",26499,13,"Manchester City","Riyad Mahrez",97,Algeria,RW;RM,11.25K,"  gold rare",86
11,"Manchester Utd",26728,13,"Manchester Utd","Bruno Fernandes",38,Portugal,CAM;CM,10.25K,"  gold rare",86
5,Chelsea,26341,13,Chelsea,Jorginho,27,Italy,CM,15.75K,"  gold rare",85
9,Liverpool,26350,13,Liverpool,"Diogo Jota",38,Portugal,CF;ST;LW,11K,"  gold rare",85
10,"Manchester City",26645,13,"Manchester City","Phil Foden",14,England,LW;LM;CAM;CF,11K,"  gold rare",85
10,"Manchester City",26755,13,"Manchester City","Ilkay Gündogan",21,Germany,CM;CDM,12K,"  gold rare",85
