clubId,clubName,id,leagueId,leagueName,name,nationId,nationName,positions,priceText,qualityAndRarity,rating
11,"Manchester Utd",52538,13,"Manchester Utd",Casemiro,54,Brazil,CDM,97K," motm gold rare",92
10,"Manchester City",26264,13,"Manchester City","Kevin De Bruyne",7,Belgium,CM;CAM,60K,"  gold rare",91
18,Spurs,50335,13,Spurs,"Harry Kane",14,England,ST;CF,87K," wc_tott gold rare",91
11,"Manchester Utd",50523,13,"Manchester Utd",Casemiro,54,Brazil,CDM,69.5K," if gold rare",91
19,"West Ham",52518,13,"West Ham","Saïd Benrahma",97,Algeria,LM;CAM;LW,71K," fantasy gold rare",91
9,Liverpool,26266,13,Liverpool,"Mohamed Salah",111,Egypt,RW;RM,49.25K,"  gold rare",90
9,Liverpool,26267,13,Liverpool,"Virgil van Dijk",34,Netherlands,CB,49.5K,"  gold rare",90
11,"Manchester Utd",26268,13,"Manchester Utd","Cristiano Ronaldo",38,Portugal,ST;CF,53.5K,"  gold rare",90
11,"Manchester Utd",48660,13,"Manchester Utd",Casemiro,54,Brazil,CDM,56K," if gold rare",90
18,Spurs,50524,13,Spurs,"Harry Kane",14,England,ST;CF,59.5K," if gold rare",90
1808,Brighton,52612,13,Brighton,"Kaoru Mitoma",163,Japan,LM;LWB;LW,58.5K," fantasy gold rare",90
10,"Manchester City",52750,13,"Manchester City",Ederson,54,Brazil,GK,33.4K," futballers gold rare",90
114605,HERO,26248,13,HERO,"Javier Mascherano",52,Argentina,CDM;CB,83.5K," wc_heroes gold rare",89
18,Spurs,26272,13,Spurs,"Heung Min Son",167,"Korea Republic",LW;LM,37K,"  gold rare",89
11,"Manchester Utd",26275,13,"Manchester Utd",Casemiro,54,Brazil,CDM,37K,"  gold rare",89
9,Liverpool,26276,13,Liverpool,Alisson,54,Brazil,GK,37K,"  gold rare",89
18,Spurs,26277,13,Spurs,"Harry Kane",14,England,ST;CF,37K,"  gold rare",89
10,"Manchester City",26278,13,"Manchester City",Ederson,54,Brazil,GK,37K,"  gold rare",89
5,Chelsea,26279,13,Chelsea,"N'Golo Kanté",18,France,CDM;CM,37K,"  gold rare",89
10,"Manchester City",48485,13,"Manchester City","Phil Foden",14,England,LW;LM;CAM;CF,66K," ucl_live gold rare",89
10,"Manchester City",48506,13,"Manchester City","João Cancelo",38,Portugal,LB;RB;LWB,81.5K," if gold rare",89
10,"Manchester City",48795,13,"Manchester City","Jack Grealish",14,England,LW;LM;CAM,52.5K," wc_ptg gold rare",89
9,Liverpool,48835,13,Liverpool,Fabinho,54,Brazil,CDM;CB,11.15K," wc_star gold rare",89
1799,"Crystal Palace",50396,13,"Crystal Palace","Jack Butland",14,England,GK,41K," winter_wildcards gold rare",89
14,"Nott'm Forest",51637,13,"Nott'm Forest","Keylor Navas",72,"Costa Rica",GK,43K," if gold rare",89
1,Arsenal,51671,13,Arsenal,"Eddie Nketiah",14,England,ST;CF;LW,98.5K," future_stars gold rare",89
11,"Manchester Utd",52843,13,"Manchester Utd","Bruno Fernandes",38,Portugal,CAM;CM,71K," motm gold rare",89
114605,HERO,52905,13,HERO,"Freddie Ljungberg",46,Sweden,LM;RM;LW,36K," trophy_titans gold rare",89
10,"Manchester City",26281,13,"Manchester City","Erling Haaland",36,Norway,ST;CF,28K,"  gold rare",88
10,"Manchester City",26303,13,"Manchester City","Bernardo Silva",38,Portugal,CAM;CM,27.5K,"  gold rare",88
10,"Manchester City",26305,13,"Manchester City","Rúben Dias",38,Portugal,CB,27K,"  gold rare",88
10,"Manchester City",26307,13,"Manchester City","João Cancelo",38,Portugal,LB;RB;LWB,27.25K,"  gold rare",88
114605,HERO,27795,13,HERO,"Jay-Jay Okocha",133,Nigeria,CAM;RM;ST,64.5K," heroes gold rare",88
1,Arsenal,48480,13,Arsenal,"Martin Ødegaard",36,Norway,CAM;CM,45K," europa_live gold rare",88
5,Chelsea,48639,13,Chelsea,"Kai Havertz",21,Germany,CAM;CF;ST,40K," halloween gold rare",88
5,Chelsea,48692,13,Chelsea,"Reece James",14,England,RW;RM;ST,36.75K," out_of_position gold rare",88
5,Chelsea,48830,13,Chelsea,"Mason Mount",14,England,CAM;RW,6.95K," wc_star gold rare",88
114605,HERO,50119,13,HERO,"Freddie Ljungberg",46,Sweden,LM;RM;LW,27.25K," wc_heroes gold rare",88
5,Chelsea,50187,13,Chelsea,"Christian Pulisic",95,"United States",LW;LM;RW,30K," wc_ptg gold rare",88
5,Chelsea,50278,13,Chelsea,"Hakim Ziyech",129,Morocco,CAM;RM;RW,60.55K," wc_showdown_plus gold rare",88
1,Arsenal,50304,13,Arsenal,"Bukayo Saka",14,England,RM;LM;RW,55K," wc_phenoms gold rare",88
95,"Leicester City",50316,13,"Leicester City","Youri Tielemans",7,Belgium,CDM;CM,36.75K," wc_phenoms gold rare",88
5,Chelsea,50339,13,Chelsea,"Thiago Silva",54,Brazil,CB,62K," wc_tott gold rare",88
11,"Manchester Utd",50340,13,"Manchester Utd","Diogo Dalot",38,Portugal,RB;RWB,69K," wc_tott gold rare",88
13,"Newcastle Utd",50388,13,"Newcastle Utd","Nick Pope",14,England,GK,28.45K," showdown_plus gold rare",88
1,Arsenal,50473,13,Arsenal,"Martin Ødegaard",36,Norway,CM;CAM,41.5K," if gold rare",88
95,"Leicester City",50505,13,"Leicester City","Jamie Vardy",14,England,ST;CF,47.5K," centurions gold rare",88
5,Chelsea,50574,13,Chelsea,"Thiago Silva",54,Brazil,CB,45.5K," if gold rare",88
10,"Manchester City",50633,13,"Manchester City","Riyad Mahrez",97,Algeria,RM;RW,34.75K," if gold rare",88
1799,"Crystal Palace",51237,13,"Crystal Palace","Marc Guehi",14,England,CB,54.5K," future_stars gold rare",88
