clubId,clubName,id,leagueId,leagueName,name,nationId,nationName,positions,priceText,qualityAndRarity,rating
21,"FC Bayern",26273,19,"FC Bayern","Sadio Mané",136,Senegal,LM;CF;LW,20K,"  gold rare",89
21,"FC Bayern",26274,19,"FC Bayern","Joshua Kimmich",21,Germany,CDM;RB,19K,"  gold rare",89
21,"FC Bayern",51852,19,"FC Bayern","João Cancelo",38,Portugal,LB;RB;LWB,14.75K,"  gold rare",88
21,"FC Bayern",26415,19,"FC Bayern","Thomas Müller",21,Germany,CAM;CF,12.25K,"  gold rare",87
21,"FC Bayern",26417,19,"FC Bayern","Leon Goretzka",21,Germany,CM;CDM,18.75K,"  gold rare",87
21,"FC Bayern",26419,19,"FC Bayern","Kingsley Coman",18,France,LM;LW,10K,"  gold rare",86
1824,Frankfurt,26421,19,Frankfurt,"Kevin Trapp",21,Germany,GK,9.7K,"  gold rare",86
112172,"RB Leipzig",26424,19,"RB Leipzig","Christopher Nkunku",18,France,CF;CAM;ST,12.5K,"  gold rare",86
112172,"RB Leipzig",26423,19,"RB Leipzig","Péter Gulácsi",23,Hungary,GK,6.7K,"  gold rare",85
21,"FC Bayern",26425,19,"FC Bayern","Matthijs de Ligt",34,Netherlands,CB,7.4K,"  gold rare",85
23,"M'gladbach",26426,19,"M'gladbach","Yann Sommer",47,Switzerland,GK,9K,"  gold rare",85
22,Dortmund,26427,19,Dortmund,"Niklas Süle",21,Germany,CB;RB,6.6K,"  gold rare",85
32,Leverkusen,26428,19,Leverkusen,"Patrik Schick",12,"Czech Republic",ST;CF,6.6K,"  gold rare",85
22,Dortmund,26429,19,Dortmund,"Marco Reus",21,Germany,CAM;RM;CF,6.5K,"  gold rare",85
21,"FC Bayern",26430,19,"FC Bayern","Serge Gnabry",21,Germany,RM;RW,7.5K,"  gold rare",85
21,"FC Bayern",51285,19,"FC Bayern","Yann Sommer",47,Switzerland,GK,6.6K,"  gold rare",85
22,Dortmund,26293,19,Dortmund,"Jude Bellingham",14,England,CM;LM,6.5K,"  gold rare",84
21,"FC Bayern",26299,19,"FC Bayern","Alphonso Davies",70,Canada,LB;LWB;LM,9.8K,"  gold rare",84
32,Leverkusen,26414,19,Leverkusen,"Moussa Diaby",18,France,RM;LM;RW;LW,6.4K,"  gold rare",84
21,"FC Bayern",26416,19,"FC Bayern","Leroy Sané",21,Germany,LM;LW,7.4K,"  gold rare",84
175,"VfL Wolfsburg",26418,19,"VfL Wolfsburg","Koen Casteels",7,Belgium,GK,4.3K,"  gold rare",84
22,Dortmund,26420,19,Dortmund,"Mats Hummels",21,Germany,CB,3.9K,"  gold rare",84
21,"FC Bayern",26422,19,"FC Bayern","Lucas Hernández",18,France,CB;LB,4K,"  gold rare",84
112172,"RB Leipzig",26413,19,"RB Leipzig","Konrad Laimer",4,Austria,CDM;CM,3.7K,"  gold rare",83
10029,"TSG Hoffenheim",26790,19,"TSG Hoffenheim",Angeliño,45,Spain,LWB;LB;LM,1.8K,"  gold rare",83
10029,"TSG Hoffenheim",26796,19,"TSG Hoffenheim","Oliver Baumann",21,Germany,GK,1.7K,"  gold rare",83
22,Dortmund,26799,19,Dortmund,"Gregor Kobel",47,Switzerland,GK,3.6K,"  gold rare",83
32,Leverkusen,26801,19,Leverkusen,"Lukáš Hrádecký",17,Finland,GK,1.9K,"  gold rare",83
22,Dortmund,26334,19,Dortmund,"Nico Schlotterbeck",21,Germany,CB,3.9K,"  gold rare",82
32,Leverkusen,26395,19,Leverkusen,"Florian Wirtz",21,Germany,CAM;CM,1.4K,"  gold rare",82
112172,"RB Leipzig",26449,19,"RB Leipzig","Timo Werner",21,Germany,ST;CF;LW,2.3K,"  gold rare",82
112172,"RB Leipzig",26450,19,"RB Leipzig","André Silva",38,Portugal,ST;CF,950,"  gold rare",82
112172,"RB Leipzig",26452,19,"RB Leipzig","Dani Olmo",45,Spain,CAM;CF,900,"  gold rare",82
112172,"RB Leipzig",26453,19,"RB Leipzig","Willi Orban",23,Hungary,CB,950,"  gold non-rare",82
22,Dortmund,26726,19,Dortmund,Guerreiro,38,Portugal,LB;LWB;LM,1.8K,"  gold non-rare",82
