clubId,clubName,id,leagueId,leagueName,name,nationId,nationName,positions,priceText,qualityAndRarity,rating
5,Chelsea,26345,13,Chelsea,"Hakim Ziyech",129,Morocco,RW;RM;CAM,1.4K,,83
9,Liverpool,26353,13,Liverpool,"Jordan Henderson",14,England,CM;CDM,1.4K,,83
9,Liverpool,26354,13,Liverpool,"Roberto Firmino",54,Brazil,CF;ST,1.4K,,83
110,Wolves,26538,13,Wolves,"Rúben Neves",38,Portugal,CM;CDM,1.3K,,83
10,"Manchester City",26785,13,"Manchester City","John Stones",14,England,CB,1.5K,,83
1,Arsenal,26786,13,Arsenal,"Gabriel Jesus",54,Brazil,ST;CF;RW,1.5K,,83
18,Spurs,26791,13,Spurs,"Pierre-Emile Højbjerg",13,Denmark,CDM;CM,1.3K,,83
95,"Leicester City",26792,13,"Leicester City","Ricardo Pereira",38,Portugal,RB;RWB,1.2K,,83
2,"Aston Villa",26793,13,"Aston Villa","Diego Carlos",54,Brazil,CB,1.5K,,83
18,Spurs,26798,13,Spurs,"Cristian Romero",52,Argentina,CB,1.5K,,83
9,Liverpool,50712,13,Liverpool,"Cody Gakpo",34,Netherlands,LW;LM,1.6K,,83
5,Chelsea,26292,13,Chelsea,"Christian Pulisic",95,"United States",LW;LM;RW,750,,82
1,Arsenal,26328,13,Arsenal,"Aaron Ramsdale",14,England,GK,800,,82
5,Chelsea,26346,13,Chelsea,"Ben Chilwell",14,England,LWB;LB,750,,82
5,Chelsea,26347,13,Chelsea,Azpilicueta,45,Spain,CB;RWB;RB,1.6K,,82
9,Liverpool,26355,13,Liverpool,"Darwin Núñez",60,Uruguay,ST;CF;LW,1.5K,,82
11,"Manchester Utd",26509,13,"Manchester Utd",Antony,54,Brazil,RW;RM,2.1K,,82
19,"West Ham",26510,13,"West Ham","Lucas Paquetá",54,Brazil,CAM;CM;CF,2.7K,,82
1799,"Crystal Palace",26511,13,"Crystal Palace","Wilfried Zaha",108,"Côte d'Ivoire",LW;LM;CF,1.1K,,82
2,"Aston Villa",26512,13,"Aston Villa",Coutinho,54,Brazil,CAM;CM;LW,2.7K,,82
110,Wolves,26541,13,Wolves,"Raúl Jiménez",83,Mexico,ST;CF,850,,82
110,Wolves,26544,13,Wolves,"Gonçalo Guedes",38,Portugal,ST;LM;CF,3K,,82
11,"Manchester Utd",26727,13,"Manchester Utd","Christian Eriksen",13,Denmark,CM;CAM,800,,82
7,Everton,26810,13,Everton,"Jordan Pickford",14,England,GK,950,,82
2,"Aston Villa",26818,13,"Aston Villa","Lucas Digne",18,France,LB;LWB,2.8K,,82
7,Everton,26820,13,Everton,"Idrissa Gueye",136,Senegal,CDM;CM,750,,82
95,"Leicester City",26831,13,"Leicester City","James Maddison",14,England,CAM,2.7K,,82
19,"West Ham",26835,13,"West Ham","Łukasz Fabiański",37,Poland,GK,750,,82
18,Spurs,51829,13,Spurs,"Arnaut Danjuma",34,Netherlands,LM;ST;LW,2.3K,,82
5,Chelsea,26348,13,Chelsea,Cucurella,45,Spain,LB;CB;LWB;LM,1.5K,,81
9,Liverpool,26356,13,Liverpool,"Naby Keïta",118,Guinea,CM,700,,81
9,Liverpool,26357,13,Liverpool,"Joe Gomez",14,England,CB;RB,1.2K,,81
110,Wolves,26482,13,Wolves,"José Sá",38,Portugal,GK,700,,81
11,"Manchester Utd",26514,13,"Manchester Utd","Marcus Rashford",14,England,LW;LM;ST,1K,,81
13,"Newcastle Utd",26516,13,"Newcastle Utd","Allan Saint-Maximin",18,France,LM;LW,2.3K,,81
110,Wolves,26540,13,Wolves,"João Moutinho",38,Portugal,CM,1K,,81
11,"Manchester Utd",26848,13,"Manchester Utd","Lisandro Martínez",52,Argentina,CB;LB;CDM,1.6K,,81
5,Chelsea,26852,13,Chelsea,"Denis Zakaria",47,Switzerland,CDM;CM,950,,81
18,Spurs,26853,13,Spurs,"Dejan Kulusevski",46,Sweden,RW;RM;CF,700,,81
18,Spurs,26855,13,Spurs,Richarlison,54,Brazil,ST;CF;LW,950,,81
10,"Manchester City",26858,13,"Manchester City","Manuel Akanji",47,Switzerland,CB,800,,81
18,Spurs,26865,13,Spurs,"Yves Bissouma",126,Mali,CDM;CM,700,,81
13,"Newcastle Utd",26868,13,"Newcastle Utd","Bruno Guimarães",54,Brazil,CM;CDM,750,,81
10,"Manchester City",26873,13,"Manchester City","Kalvin Phillips",14,England,CDM;CM,700,,81
